Rank,Title,Comment,Score,Url
74,被嫌弃的松子的一生/嫌われ松子の一生/花样奇缘(港)  /  令人讨厌的松子的一生(台),以戏谑来戏谑戏谑。,8.9,https://movie.douban.com/subject/1787291/
75,猫鼠游戏/Catch Me If You Can/逍遥法外  /  神鬼交锋(台),骗子大师和执著警探的你追我跑故事。 ,8.9,https://movie.douban.com/subject/1305487/
76,低俗小说/Pulp Fiction/黑色追緝令(台)  /  危险人物(港),故事的高级讲法。,8.8,https://movie.douban.com/subject/1291832/
77,沉默的羔羊/The Silence of the Lambs/沉默的羔羊,安东尼·霍普金斯的顶级表演。,8.8,https://movie.douban.com/subject/1293544/
78,天使爱美丽/Le fabuleux destin d'Amélie Poulain/艾蜜莉的异想世界(台)  /  天使艾米莉,法式小清新。 ,8.7,https://movie.douban.com/subject/1292215/
79,蝴蝶效应/The Butterfly Effect/蝴蝶效应,人的命运被自己瞬间的抉择改变。,8.8,https://movie.douban.com/subject/1292343/
80,勇敢的心/Braveheart/惊世未了缘(港)  /  梅尔吉勃逊之英雄本色(台),史诗大片的典范。,8.9,https://movie.douban.com/subject/1294639/
81,春光乍泄/春光乍洩/一起快乐  /  Happy Together,爱情纠缠，男女一致。,8.9,https://movie.douban.com/subject/1292679/
82,剪刀手爱德华/Edward Scissorhands/幻海奇缘(港)  /  剪刀手爱德华,浪漫忧郁的成人童话。,8.7,https://movie.douban.com/subject/1292370/
83,心灵捕手/Good Will Hunting/骄阳似我(港)  /  心灵捕手,人生中应该拥有这样的一段豁然开朗。,8.8,https://movie.douban.com/subject/1292656/
84,何以为家/كفرناحوم/迦百农  /  星仔打官司(港),凝视卑弱生命，用电影改变命运。,9.0,https://movie.douban.com/subject/30170448/
85,穿条纹睡衣的男孩/The Boy in the Striped Pajamas/穿条纹衣服的男孩  /  穿条纹衣的男孩,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,9.0,https://movie.douban.com/subject/3008247/
86,禁闭岛/Shutter Island/不赦岛(港)  /  隔离岛(台),昔日翩翩少年，今日大腹便便。,8.7,https://movie.douban.com/subject/2334904/
87,布达佩斯大饭店/The Grand Budapest Hotel/布达佩斯大酒店(港)  /  欢迎来到布达佩斯大饭店(台),小清新的故事里注入了大历史的情怀。,8.8,https://movie.douban.com/subject/11525673/
88,阿凡达/Avatar/天神下凡(港)  /  化身,绝对意义上的美轮美奂。,8.7,https://movie.douban.com/subject/1652587/
89,入殓师/おくりびと/礼仪师之奏鸣曲(港)  /  礼仪师(台),死可能是一道门，逝去并不是终结，而是超越，走向下一程。,8.8,https://movie.douban.com/subject/2149806/
